Independent Variables,Dependent Variable,RMSE,R2,Adj R2,Cross Validation RMSE
"['Quarter', 'Bottles Sold']",Sale (Dollars) Per Capita,7.515046651041876,0.2514485926840876,0.24870060660730375,7.749807351363866
"['Quarter', 'Bottles Sold']",Sale (Dollars) Per Capita - Sqrt,0.9394328635076263,0.2204082980675558,0.21754636083579204,0.9554699541266428
"['Quarter', 'Bottles Sold']",Sale (Dollars) Per Capita - Log,0.5837546364311463,0.156432086889989,0.15333528838371147,0.5815291564779839
"['Quarter', 'Sale (Dollars)']",Sale (Dollars) Per Capita,7.113092468823468,0.2718038492489543,0.26913058878364216,7.761763988052694
"['Quarter', 'Sale (Dollars)']",Sale (Dollars) Per Capita - Sqrt,0.9820089432068401,0.2130571881975718,0.2101682645125409,0.9567909801128318
"['Quarter', 'Sale (Dollars)']",Sale (Dollars) Per Capita - Log,0.5694034822019189,0.16044059575955016,0.15735851277775703,0.5813841714008313
"['Quarter', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita,7.957618000277273,0.2533268607026943,0.2505857698829538,7.731096271075086
"['Quarter', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita - Sqrt,0.9228599474771537,0.24156613137755367,0.2387818660742408,0.9488436236890282
"['Quarter', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita - Log,0.5758149788117525,0.17481841701204204,0.1717891160465943,0.5776557017049867
"['Quarter', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita,7.684602478127045,0.2654787570669581,0.26278227673313637,7.691469097629036
"['Quarter', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita - Sqrt,0.959488487260511,0.2518561817172472,0.24910969192913146,0.9485458794948457
"['Quarter', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita - Log,0.606013953324841,0.16100200379566776,0.1579219817831703,0.5772433257486798
"['Quarter', 'Wages Per Capita']",Sale (Dollars) Per Capita,6.913674040447406,0.4453994023157466,0.4433634236164652,6.488419813357028
"['Quarter', 'Wages Per Capita']",Sale (Dollars) Per Capita - Sqrt,0.7901944807553624,0.4912186814225459,0.48935090859370056,0.7639286313169235
"['Quarter', 'Wages Per Capita']",Sale (Dollars) Per Capita - Log,0.4587722050635545,0.4537221346099024,0.4517167092597185,0.47596340386017166
"['Quarter', 'Average Emp Per Capita']",Sale (Dollars) Per Capita,5.454899655714272,0.5724967150518132,0.5709273197326201,6.155744064129751
"['Quarter', 'Average Emp Per Capita']",Sale (Dollars) Per Capita - Sqrt,0.7468787139215243,0.557524916287512,0.5559005584177892,0.7054865367509786
"['Quarter', 'Average Emp Per Capita']",Sale (Dollars) Per Capita - Log,0.44437576919348365,0.5037632994011263,0.5019415787675034,0.4428997729620822
"['Bottle Volume (ml)', 'State Bottle Cost']",Sale (Dollars) Per Capita,7.895313248709642,0.23820893868478432,0.23653344514816732,7.729926364276563
"['Bottle Volume (ml)', 'State Bottle Cost']",Sale (Dollars) Per Capita - Sqrt,0.9619274123746036,0.22882643855784102,0.22713030902387732,0.9495797113352424
"['Bottle Volume (ml)', 'State Bottle Cost']",Sale (Dollars) Per Capita - Log,0.549165201868889,0.1969104264826057,0.19514410044114505,0.5734813232262971
"['Bottle Volume (ml)', 'State Bottle Retail']",Sale (Dollars) Per Capita,7.73933175349228,0.2526354154361742,0.25099165168713355,7.756300821596095
"['Bottle Volume (ml)', 'State Bottle Retail']",Sale (Dollars) Per Capita - Sqrt,0.9473151473024826,0.2189092589062448,0.21719131739357522,0.9509852325348087
"['Bottle Volume (ml)', 'State Bottle Retail']",Sale (Dollars) Per Capita - Log,0.5654064685810292,0.18769135256048497,0.18590474996347717,0.5736778596758484
"['Bottle Volume (ml)', 'Bottles Sold']",Sale (Dollars) Per Capita,7.628938043643508,0.2574771510621653,0.2558440362917741,7.689713741337982
"['Bottle Volume (ml)', 'Bottles Sold']",Sale (Dollars) Per Capita - Sqrt,0.9271691032073144,0.25626374956803466,0.2546279660260289,0.9340339723545453
"['Bottle Volume (ml)', 'Bottles Sold']",Sale (Dollars) Per Capita - Log,0.5620379650242242,0.20342494905610964,0.2016729511434765,0.5638343319705392
"['Bottle Volume (ml)', 'Sale (Dollars)']",Sale (Dollars) Per Capita,7.5266251001684354,0.23673888736084148,0.23506016057351198,7.743411560371769
"['Bottle Volume (ml)', 'Sale (Dollars)']",Sale (Dollars) Per Capita - Sqrt,0.9616136717005972,0.24862477564069896,0.24697219083638966,0.9440055862549575
"['Bottle Volume (ml)', 'Sale (Dollars)']",Sale (Dollars) Per Capita - Log,0.5971438957588191,0.18089792638394242,0.17909638223376056,0.5681318377854132
"['Bottle Volume (ml)', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita,7.46480978713789,0.24853903712825087,0.24688626374950062,7.7656074673645366
"['Bottle Volume (ml)', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita - Sqrt,0.9420332864123458,0.2392996886821842,0.23762659415582543,0.9494678082422825
"['Bottle Volume (ml)', 'Volume Sold (Liters)']",Sale (Dollars) Per Capita - Log,0.583900126251543,0.1848281754383485,0.1830352755309549,0.5707711123441666
"['Bottle Volume (ml)', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita,7.348534331751453,0.26926737981450655,0.26766019663228036,7.77069362142493
"['Bottle Volume (ml)', 'Volume Sold (Gallons)']",Sale (Dollars) Per Capita - Sqrt,0.940142975650214,0.24431284165824552,0.2426507731281684,0.9486357782059047
